TTDDRUGID	LNM	Indication	ICD9	ICD10
DCL001059	ICo-007	Diabetic macular edema; Diabetic retinopathy	250, 250.5, 362.0-362.2, 362.01, 362.07, 362.53, 782.3	E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35-H35.2, H35.8, H36, E10.3, E11.3, E13.3, R60.9
DCL001060	TV-1102	Multiple sclerosis	340	G35
DCL001061	LY2181308	Non-small cell lung cancer	140-229, 162, 204.0	C00-C96, C33-C34, C91.0
DCL001062	ISIS 325568	Diabetes mellitus type 2	250	E11
DCL001063	Affinitak	Lung cancer; Breast cancer; Colorectal cancer; Ovarian cancer; Melanoma	140-229, 162, 162.9, 172, 183, 200, 202, 204.0	C00-C96, C33, C33-C34, C34, C34.90, C43, C56, C82-C85, C91.0
DCL001064	7-hydroxystaurosporine	Renal cell carcinoma; Melanoma and lymphoma; Small cell lung cancer	162, 172, 189, 202.8	C33, C34, C43, C64, C81-C96
DCL001065	AEG35156	Cancer	140-229	C00-C96
DCL001066	AGN211745	Choroidal neovascularization; Age-related macular degeneration	362.5	H35.3
DCL001069	Bevasiranib	Exudative age-related macular degeneration	362.5	H35.3
DCL001071	ENMD-2076	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DCL001072	GSK1070916	Advanced solid tumours	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
DCL001073	P1446A-05	Cancer	140-229	C00-C96
DCL001074	P276-00	Mantle cell lymphoma	200.4, 202.8, 203.0, 208.9	C81-C96, C85.7, C90.0, C91-C95
DCL001075	PD-0332991	Breast cancer	174, 175, 217	C50, D24
DCL001076	PF-03814735	Advanced solid tumours	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
DCL001077	PF-477736	Advanced solid tumours	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
DCL001077	PF-477736	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001078	PHA-739358	Prostate cancer	140-229, 185	C00-C96, C61
DCL001079	R547	Advanced solid tumours	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
DCL001080	R-roscovitine	Cancer	140-229	C00-C96
DCL001081	SCH 727965	Acute lymphoblastic leukemia	189, 204.0	C64, C91.0
DCL001082	Terameprocol	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001083	VX-689	Cancer	140-229	C00-C96
DCL001083	VX-689	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001084	ZK 304709	Advanced solid tumours	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
DCL001085	BEZ235	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001086	BGT226	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001087	Buparlisib	Breast cancer	174, 175, 217	C50, D24
DCL001088	GDC0941	Advanced solid tumours; Non-Hodgkin's lymphoma	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
DCL001089	GSK1059615	Metastatic breast cancer; Endometrial cancer; Lymphoma	140-199, 140-229, 174, 175, 182.0, 202.8, 210-229	C00-C75, C00-C96, C50, C54.1, C7A, C7B, C81-C96, D10-D36, D3A
DCL001090	PX-866	Cancer	140-229	C00-C96
DCL001093	VQD-002	Haematological malignancies; Leukaemia; Non-small-cell lung cancer	140-229, 140-239, 162, 200-209, 208.9	C00-C96, C00-C96, C33, C33-C34, C34, C81-C96, C91-C95
DCL001094	AP23573	Metastatic soft-tissue sarcomas; Metastatic bone sarcomas	.	I51.89
DCL001094	AP23573	Restenosis	.	I51.89
DCL001095	OSI-027	Renal cancer	140-229, 189	C00-C96, C64
DCL001096	SCH-D	Human immunodeficiency virus infection	279.3	D84.9
DCL001099	LY293558	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DCL001100	Sodium butyrate	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DCL001100	Sodium butyrate	Refractory sickle cell ulcers	282.5, 282.6	D57
DCL001101	ABT-279	Type 2 diabetes	250.00, 250.02	E11
DCL001102	AG140699	Malignant melanoma	172, 208.9	C43, C91-C95
DCL001103	AN-9	Melanoma	172.9	C43
DCL001104	Besonprodil	Parkinson's disease	332	F02.3, G20
DCL001105	BMS-488043	HIV infections	001-139, 042	A00-B99, B20
DCL001106	CBT-1	Non-small cell lung cancer	140-229, 162, 204.0	C00-C96, C33-C34, C91.0
DCL001107	Curcumin I	Cancer	140-229	C00-C96
DCL001108	ELB-139	Anxiety disorder	300, 311	F32, F40-F42
DCL001109	EVT-101	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
DCL001109	EVT-101	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL001110	IDDBCP161883	Diabetes mellitus type 2	250	E11
DCL001110	IDDBCP161883	Type 2 diabetes	250.00, 250.02	E11
DCL001111	LAQ824	General leukaemia cancer	204-208	C91-C95
DCL001112	LY-544344	Anxiety disorder	300, 311	F32, F40-F42
DCL001113	Melogliptin	Diabetes mellitus type 2	250	E11
DCL001113	Melogliptin	Type 2 diabetes	250.00, 250.02	E11
DCL001114	MGCD-0103	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001115	NVP-AUY922	Cancers	140-239	C00-C96
DCL001116	Ocinaplon	Generalized anxiety disorder	300, 300.02, 311	F32, F40-F42, F41.1
DCL001117	PDX-101	Cancers	140-239	C00-C96
DCL001118	Pro 542	HIV infections	001-139, 042	A00-B99, B20
DCL001118	Pro 542	Human immunodeficiency virus infection	279.3	D84.9
DCL001119	Pyroxamide	Cancer	140-229	C00-C96
DCL001119	Pyroxamide	Cancers	140-239	C00-C96
DCL001120	S-18986	Alzheimer's disease	331.0, 331.83	G30, G31.84
DCL001121	SSR-162369	Type 2 diabetes	250.00, 250.02	E11
DCL001122	Tacedinaline	Cancers	140-239	C00-C96
DCL001123	TNX-355	HIV infections	001-139, 042	A00-B99, B20
DCL001125	Prolarix	Cancer	140-229	C00-C96
DCL001126	V85546	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DCL001127	Gilenia	Multiple sclerosis	340	G35
DCL001128	4SC-203	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001129	4SC-205	Solid tumours; Malignant lymphoma	140-199, 202.8	C00-C75, C7A, C7B, C81-C96
DCL001130	ABT-072	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001131	ABT-333	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001132	ABT-450	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001133	ACE-011	Anemia	280-285	D50-D64
DCL001134	ACE-041	Advanced cancers; Age-related macular degeneration	140-229, 362.50	C00-C96, H35.3
DCL001135	ACH-1625	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001136	ADX415	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DCL001137	ALB-127158(a)	Obesity	278	E66
DCL001138	ALN-TTR01	Amyloidosis	277.3	E85
DCL001139	ALN-VSP	Liver cancer	140-229, 155, 203.0	C00-C96, C22.0, C90.0
DCL001140	ANA773	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
DCL001141	ANAVEX 2-73	Alzheimer's disease	331.0, 331.83	G30, G31.84
DCL001141	ANAVEX 2-73	Breast cancer	174, 175, 217	C50, D24
DCL001142	Anti-CD22	Hematologic malignancies	200-209	C81-C96
DCL001143	Anti-Factor D	Geographic atrophy associated with AMD	362.5	H35.3
DCL001144	Anti-FGFR3	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DCL001145	Anti-HER3/EGFR DAF	Metastatic epithelial tumors	140-199	C00-C75, C7A, C7B
DCL001146	Anti-LT alpha	Rheumatold arthritis	714	M05-M06
DCL001147	Anti-M1 prime	Asthma	493	J45
DCL001148	APC-100	Castration-resistant prostate cancer	140-229, 185	C00-C96, C61
DCL001149	ARI-3037MO	Dyslipidemia	272	E78
DCL001150	ASG-22ME	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001151	ASG-5ME	Pancreatic cancer; Prostate cancer	140-229, 157, 185	C00-C96, C25, C61
DCL001152	AT001/r84	Cancers	140-239	C00-C96
DCL001153	ATL1102	Multiple sclerosis	340	G35
DCL001154	AZD5658	Obesity; Diabetes	250, 278	E08-E13, E66
DCL001155	AZD7687	Obesity; Diabetes	250, 278	E08-E13, E66
DCL001156	AZD8329	Diabetes mellitus; Obesity	250, 278	E08-E13, E66
DCL001157	BI 201335	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001158	BI 207127	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001159	BIT225	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001160	BMS 650032	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001161	BMS 790052	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001162	BMS 791325	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001163	BMS-824383	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001164	BMS-830216	Obesity	278	E66
DCL001165	BMS-833923	Cancers	140-239	C00-C96
DCL001166	BMS-908662	Cancers	140-239	C00-C96
DCL001168	Cabozantinib	Gastric cancer; Hepatocellular carcinoma; Melanoma; Prostate cancer; NSCLC	140-229, 155, 157, 162, 172, 174, 175, 183, 185, 204.0	C00-C96, C22.0, C25, C33, C33-C34, C34, C43, C50, C56, C61, C91.0
DCL001168	Cabozantinib	Medullary thyroid cancer	193	C73
DCL001168	Cabozantinib	Metastatic castration-resistant prostate cancer; Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL001168	Cabozantinib	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001168	Cabozantinib	Thyroid cancer; Renal cell carcinoma	140-229, 189, 193	C00-C96, C64, C73
DCL001169	Canagliflozin	Diabetes mellitus type 2	250	E11
DCL001169	Canagliflozin	Type 2 diabetes	250.00, 250.02	E11
DCL001170	Cenderitide	Heart disease	390-429	I00-I52
DCL001170	Cenderitide	Heart failure	410, 428	I21, I22, I50
DCL001171	CF102	Hepatocellular carcinoma; Hepatitis C infection	001-139, 070.4, 070.5, 070.70, 155, 573.3	A00-B99, B17.1, B18.2, C22.0, K75.9
DCL001172	Clemizole	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001173	Clevudine	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DCL001174	CM2489	Psoriasis	696	L40
DCL001175	CVX-060	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001176	Danoprevir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001177	Debio 025	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001178	Debio 0827	Chronic pain	338.2,780	R52.1-R52.2, G89
DCL001179	Debio 0932	Cancers	140-239	C00-C96
DCL001180	DPX-Survivac	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL001181	EXC 001	Fibrosis	709.2	L90.5
DCL001182	EZN-2968	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001183	EZN-3042	Cancer	140-229	C00-C96
DCL001184	EZN-4176	Prostate cancer	140-229, 185	C00-C96, C61
DCL001185	Filibuvir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001186	GDC-0068	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001187	GDC-0623	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001188	GDC-0973	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001189	GDC-0980	Advanced solid tumours; Non-Hodgkin's lymphoma	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
DCL001190	GS-9256	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001191	GSK2118436	Metastatic melanoma; Solid tumors	140-199, 172, 210-229	C00-C75, C43, C7A, C7B, D10-D36, D3A
DCL001192	HPP404	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DCL001193	IDX-189	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001194	IMO-2055	Renal cell carcinoma; Solid Tumours	140-199, 189, 210-229	C00-C75, C64, C7A, C7B, D10-D36, D3A
DCL001195	IMO-2125	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
DCL001196	IMO-3100	Autoimmune diseases	279	D84.9, M35.9
DCL001197	Indibulin	Advanced sarcomar	.	C96.4
DCL001198	INK128	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DCL001199	ISIS-APOCIII	Inflammation; High triglycerides; Atherosclerosis; Metabolic syndrome	277.7, 414.0, 440	E88.81, I70
DCL001200	ISIS-EIF4E	Cancers	140-239	C00-C96
DCL001201	ISIS-FXI	Clotting disorders	286	D65-D69
DCL001202	ISIS-SGLT2	Type 2 diabetes	250.00, 250.02	E11
DCL001203	ISIS-SOD1	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
DCL001204	ISIS-TTR	Amyloidosis	277.3	E85
DCL001205	LB80380	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DCL001207	Mavrilimumab	Rheumatold arthritis	714	M05-M06
DCL001209	MEDI-551	Lymphoma; Chronic lymphocytic leukemia; Multiple myeloma	202.8, 203.0, 204.1, 208.9	C81-C96, C90.0, C91-C95, C91.1
DCL001210	MEDI-573	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001211	MEDI-575	Glioblastoma	140-199, 191, 208.9, 210-229	C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A
DCL001212	MEDI-578	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DCL001213	Miravirsen	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001214	MIV-210	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DCL001215	MK-3281	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001216	MK-5172	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001218	OPI-1002	Delayed graft function; Acute kidney injury	584	N17
DCL001219	Ospemifene	Dyspareunia	.	N94.1
DCL001219	Ospemifene	Post-menopausal vaginal atrophy	627.3	N95.2
DCL001220	PF-03882845	Diabetic nephropathy	250, 250.4, 580-599	E08-E13, E10.2, E11.2, E13.2, N00-N29
DCL001221	PF-04620110	Diabetes mellitus type 2	250	E11
DCL001222	PPI-461	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001223	PRX00933	Obesity; Diabetes	250, 278	E08-E13, E66
DCL001224	PSI-7977	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001225	PSI-938	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001226	PSN821	Type 2 diabetes	250.00, 250.02	E11
DCL001227	Resminostat	Hepatocellular carcinoma	155	C22.0
DCL001228	RG3039	Spinal muscular atrophy	335.0-335.1	G12.0-G12.1
DCL001229	RG7128	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001230	Rontalizumab	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
DCL001231	S-222611	Malignant tumor	140-199	C00-C75, C7A, C7B
DCL001232	S-234462	Obesity	278	E66
DCL001233	S-265744 LAP	HIV infections	001-139, 042	A00-B99, B20
DCL001234	S-297995	Opioid induced adverse effect	304	F11
DCL001235	S-349572	HIV infections	001-139, 042	A00-B99, B20
DCL001236	S-474474	Metabolic syndrome X	277.7	E88.81
DCL001237	S-555739	Allergy	995.3	T78.4
DCL001238	SCY-635	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001239	SelG1	Vaso-occlusive crisis	282.62	D57.00
DCL001240	Setrobuvir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001241	SGN-70	Autoimmune diseases	279	D84.9, M35.9
DCL001242	SGN-75	Renal cell carcinoma; non-Hodgkin's lymphoma	189, 200, 202, 202.8	C64, C81-C96, C82-C85
DCL001243	SPC4955	High cholesterol levels	272	E78.0
DCL001244	SPC5001	Hyperlipidemia	272.0-272.4	E78
DCL001245	Tegobuvir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001246	TM38837	Obesity; Metabolic disorders	270-279, 278	E66, E70-E89
DCL001247	TMC435	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001248	TMC649128	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001249	TTP435	Obesity	278	E66
DCL001250	Vaniprevir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001251	Velneperit	Obesity	278	E66
DCL001252	Vidofludimus	Rheumatold arthritis; Inflammatory bowel disease	555, 556, 710-719, 714	K50, K51, M00-M25, M05-M06
DCL001253	VX-222	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001254	VX-500	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001255	VX-759	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001256	VX-916	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001257	XL550	Type 2 diabetes	250.00, 250.02	E11
DCL001258	XL652/XL014	Cardiovascular disease; Metabolic disorders	270-279, 390-459	E70-E89, I00-I99
DCL001259	ZGN-433	Obesity	278	E66
DCL001260	ZY01	Obesity; Diabetes	250, 278	E08-E13, E66
DCL001261	ZYOG1	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB000001	Org-34092	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
DIB000002	AZD-6495	Cancer	140-229	C00-C96
DIB000003	STF-31	Cancer	140-229	C00-C96
DIB000005	ZD-2767	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB000006	LG-1550	Cancer	140-229	C00-C96
DIB000007	AE-443p	Influenza virus infections	487, 488	J10, J11
DIB000008	BAY-793	HIV infections	001-139, 042	A00-B99, B20
DIB000009	AR-9273	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB000010	IFN-beta	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB000011	Pim1 inhibitors	Cancer	140-229	C00-C96
DIB000012	TRX-518	Melanoma	172.9	C43
DIB000013	Micacocidin A	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB000014	Antivaginolysin mAbs	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB000015	ABT-414	Glioblastoma	140-199, 191, 208.9, 210-229	C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A
DIB000016	VLD-517	Plasmodium infection	.	B54
DIB000017	INC-106	Restenosis	.	I51.89
DIB000018	QBM076	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DIB000019	HOE-065	Cognition disorders	295	F20
DIB000020	D-7193	Immuno-modulator	135, 691.8, 692.9, 710-719, 714	D86, L20, L20-L30, M00-M25, M05-M06
DIB000021	Liposomal lurtotecan	Lung cancer	162	C33-C34
DIB000023	TAK-810	Prostate cancer	140-229, 185	C00-C96, C61
DIB000025	ALO-1567	Glaucoma	365	H40-H42
DIB000026	OncoVAX	Melanoma	172.9	C43
DIB000027	Iopamidol	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB000028	CD4-BFFI	HIV-1 infections	001-139, 042	A00-B99, B20
DIB000029	FPA-008	Autoimmune diseases	279	D84.9, M35.9
DIB000032	MDX-066	Diarrhea	787.91	A09, K59.1
DIB000033	BC-22	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB000034	DRL-17822	Arteriosclerosis	440	I70
DIB000035	18F-AV-45 dimer	Cerebral amyloid angiopathy	.	I68.0
DIB000036	AG-SCT101	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DIB000037	TAK-802	Urinary dysfunction	.	N39.3-N39.4
DIB000038	AT-007	Autoimmune diseases	279	D84.9, M35.9
DIB000040	GX-E2	Anemia	280-285	D50-D64
DIB000041	Tr-2	Cancer	140-229	C00-C96
DIB000042	NP-432	Bacterial respiratory tract infection	.	J13,J15
DIB000043	Epanova	Hypertriglyceridemia	272.1, 427	E78.1, E78.2, E78.3, I47-I49
DIB000044	Flulaval QIV	Influenza A virus infections	487, 488	J10, J11
DIB000045	RepliVec	Cancer	140-229	C00-C96
DIB000046	Cx-621	Autoimmune diseases	434.91	I61-I63
DIB000047	DT-330	Cancer	140-229	C00-C96
DIB000048	NNI-351	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB000049	CCX-025	Crohn's disease	555	K50
DIB000051	P52-/p36- GAP vaccine	Plasmodium falciparum infection	.	B54
DIB000052	IC-47	Streptococcus pneumoniae infection	480-486, 770.0	J12, J13, J14, J15, J16, J17, J18, P23
DIB000053	TGN-208	Cancer	140-229	C00-C96
DIB000054	LY-2584702	Cancer	140-229	C00-C96
DIB000057	TES-23-NCS	Cancer	140-229	C00-C96
DIB000058	BEPH	Cancer	140-229	C00-C96
DIB000060	Claudiximab	Esophageal cancer	140-229, 150	C00-C96, C15
DIB000061	AP-101	Ischemia	459.89	I99.8
DIB000063	WCK-2349	MRSA infection	41.12	A49.02
DIB000065	BCH-150	Gastrointestinal disease	.	K00-K93
DIB000066	MD-921	Wound healing	.	T14.0-T14.1
DIB000067	CDD-0235-J	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB000068	ACP-106	Central nervous system disease	.	G00-G99
DIB000069	AZM-1	Neuropathic pain	356.0, 356.8	G64, G90.0
DIB000070	ONO-8815Ly	Miscarriage	.	O03
DIB000072	OP-145	Bronchitis	.	J20-J21,J42
DIB000073	ABX-0401	Inflammatory bowel disease	555, 556	K50, K51
DIB000074	NDC-1022	Cancer	140-229	C00-C96
DIB000075	Immunose FLU	Influenza virus infections	487, 488	J10, J11
DIB000076	MEN-10880	HIV-1 infections	001-139, 042	A00-B99, B20
DIB000077	GW-215864	Rhinitis	472.0, 477	J00, J30, J31.0
DIB000078	ICI-245991	Atherosclerosis	414.0, 440	I70
DIB000079	IP-1200	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
DIB000080	ARGENT	Prostate tumor	185	C61
DIB000082	HT-0712	Cognitive impairment	331.83	G31.84
DIB000083	Anticonvulsants	Epilepsy	290-319, 345	F01-F99, G40
DIB000085	ABL 001	Leukemia	208.9	C91-C95
DIB000087	MTC-220	Cancer	140-229	C00-C96
DIB000088	NCX 1022	Atopic dermatitis	691.8, 692.9	L20, L20-L30
DIB000090	Zona pellucida contraceptive vaccine	Female contraception	.	Z30.013
DIB000093	GS-168	Renal cancer	140-229, 189	C00-C96, C64
DIB000094	HRG-214	HIV infections	001-139, 042	A00-B99, B20
DIB000095	Befloxatone	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB000096	RX-1792	Cancer	140-229	C00-C96
DIB000097	Full-length Factor VIII molecule, hemophilia	Hemophilia	286	D66-D68
DIB000098	Phytosel	Cancer	140-229	C00-C96
DIB000099	CALDARET HYDRATE	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB000100	RX-01-423	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
